"Question_01"	"Question_02"	"Question_03"	"Question_04"	"Question_05"	"Question_06"	"Question_07"	"Question_08"	"Question_09"	"Question_10"	"Question_11"	"Question_12"	"Question_13"	"Question_14"	"Question_15"	"Question_16"	"Question_17"	"Question_18"	"Question_19"	"Question_20"	"Question_21"	"Question_22"	"Question_23"
"Neither"	"Neither"	"Disagree"	"Disagree"	"Neither"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Disagree"	"Neither"	"Strongly disagree"	"Agree"	"Neither"	"Neither"	"Strongly disagree"
"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Strongly agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Disagree"	"Neither"	"Neither"	"Neither"	"Disagree"
"Agree"	"Strongly agree"	"Disagree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Neither"	"Neither"	"Agree"	"Neither"	"Neither"	"Disagree"	"Disagree"	"Disagree"	"Disagree"
"Agree"	"Strongly agree"	"Neither"	"Neither"	"Agree"	"Neither"	"Neither"	"Neither"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Neither"	"Neither"	"Agree"	"Agree"	"Agree"	"Neither"	"Strongly agree"	"Disagree"	"Neither"	"Agree"	"Disagree"
"Strongly agree"	"Agree"	"Neither"	"Neither"	"Agree"	"Strongly agree"	"Strongly agree"	"Agree"	"Agree"	"Strongly agree"	"Agree"	"Neither"	"Neither"	"Neither"	"Neither"	"Neither"	"Neither"	"Strongly agree"	"Agree"	"Neither"	"Neither"	"Neither"	"Neither"
"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Strongly agree"	"Strongly agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Strongly agree"	"Agree"	"Agree"	"Strongly agree"	"Neither"	"Agree"	"Agree"	"Neither"	"Neither"
"Agree"	"Strongly agree"	"Neither"	"Neither"	"Strongly agree"	"Agree"	"Disagree"	"Strongly agree"	"Strongly agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Neither"	"Disagree"
"Neither"	"Strongly agree"	"Strongly disagree"	"Agree"	"Neither"	"Strongly agree"	"Strongly agree"	"Agree"	"Strongly agree"	"Agree"	"Agree"	"Disagree"	"Strongly agree"	"Agree"	"Agree"	"Strongly agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Neither"
"Neither"	"Strongly agree"	"Neither"	"Agree"	"Neither"	"Strongly agree"	"Agree"	"Agree"	"Strongly agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Agree"	"Neither"	"Strongly agree"	"Strongly disagree"	"Agree"	"Neither"	"Disagree"
"Disagree"	"Agree"	"Strongly disagree"	"Disagree"	"Strongly Disagree"	"Disagree"	"Neither"	"Agree"	"Agree"	"Strongly disagree"	"Agree"	"Disagree"	"Neither"	"Neither"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Neither"	"Strongly disagree"	"Strongly disagree"	"Neither"	"Neither"
"Neither"	"Agree"	"Neither"	"Agree"	"Disagree"	"Strongly agree"	"Neither"	"Strongly disagree"	"Disagree"	"Agree"	"Strongly disagree"	"Agree"	"Disagree"	"Neither"	"Agree"	"Agree"	"Disagree"	"Neither"	"Disagree"	"Agree"	"Neither"	"Neither"	"Neither"
"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Disagree"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Strongly agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Neither"
"Strongly agree"	"Strongly agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Neither"	"Neither"	"Agree"	"Strongly agree"	"Neither"	"Strongly disagree"	"Disagree"	"Neither"	"Disagree"
"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Agree"	"Disagree"	"Disagree"	"Neither"	"Agree"	"Agree"	"Neither"	"Disagree"	"Neither"	"Neither"	"Neither"
"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Strongly agree"	"Disagree"	"Neither"	"Agree"	"Neither"	"Neither"	"Agree"	"Neither"	"Neither"	"Disagree"	"Disagree"	"Disagree"	"Disagree"
"Agree"	"Strongly agree"	"Disagree"	"Neither"	"Agree"	"Agree"	"Disagree"	"Agree"	"Strongly agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Strongly agree"	"Strongly disagree"	"Disagree"	"Agree"	"Disagree"
"Agree"	"Strongly agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Agree"	"Agree"	"Disagree"	"Neither"	"Disagree"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Neither"	"Disagree"
"Agree"	"Agree"	"Agree"	"Neither"	"Neither"	"Agree"	"Neither"	"Agree"	"Strongly disagree"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Neither"	"Agree"	"Agree"	"Neither"	"Neither"	"Neither"	"Neither"	"Agree"	"Disagree"
"Agree"	"Agree"	"Agree"	"Agree"	"Neither"	"Strongly agree"	"Strongly agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Strongly disagree"	"Agree"	"Neither"	"Agree"	"Strongly agree"	"Neither"	"Agree"	"Agree"	"Disagree"	"Disagree"
"Agree"	"Strongly agree"	"Neither"	"Neither"	"Neither"	"Disagree"	"Strongly disagree"	"Agree"	"Strongly agree"	"Neither"	"Agree"	"Disagree"	"Neither"	"Disagree"	"Strongly disagree"	"Neither"	"Neither"	"Strongly agree"	"Neither"	"Strongly disagree"	"Strongly disagree"	"Agree"	"Neither"
"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Strongly Disagree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Neither"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Disagree"	"Strongly disagree"	"Neither"	"Strongly disagree"	"Strongly disagree"	"Neither"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Disagree"	"Neither"
"Neither"	"Strongly agree"	"Strongly disagree"	"Neither"	"Disagree"	"Neither"	"Neither"	"Neither"	"Agree"	"Strongly disagree"	"Neither"	"Disagree"	"Neither"	"Strongly disagree"	"Agree"	"Disagree"	"Neither"	"Neither"	"Strongly agree"	"Agree"	"Neither"	"Neither"	"Agree"
"Neither"	"Strongly agree"	"Disagree"	"Agree"	"Neither"	"Neither"	"Neither"	"Agree"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Neither"	"Agree"	"Neither"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Neither"	"Neither"	"Agree"
"Neither"	"Strongly agree"	"Strongly disagree"	"Disagree"	"Neither"	"Agree"	"Disagree"	"Disagree"	"Strongly agree"	"Agree"	"Disagree"	"Neither"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Agree"	"Neither"	"Strongly agree"	"Disagree"	"Disagree"	"Neither"	"Disagree"
"Strongly agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Strongly agree"	"Agree"	"Strongly agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"
"Neither"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Neither"	"Disagree"	"Neither"	"Neither"	"Disagree"	"Neither"	"Neither"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"
"Agree"	"Agree"	"Neither"	"Neither"	"Disagree"	"Agree"	"Neither"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Neither"	"Agree"	"Neither"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Disagree"	"Neither"	"Neither"	"Neither"
"Agree"	"Neither"	"Neither"	"Agree"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Agree"	"Disagree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Agree"	"Neither"	"Neither"	"Strongly agree"	"Disagree"	"Neither"	"Neither"	"Agree"	"Neither"
"Agree"	"Disagree"	"Agree"	"Neither"	"Agree"	"Agree"	"Neither"	"Agree"	"Disagree"	"Agree"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Neither"	"Agree"	"Agree"	"Neither"	"Neither"	"Agree"	"Neither"	"Disagree"	"Disagree"
"Strongly agree"	"Strongly agree"	"Disagree"	"Neither"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Neither"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Agree"	"Neither"	"Neither"	"Strongly agree"	"Disagree"	"Disagree"	"Neither"	"Agree"	"Agree"
"Neither"	"Agree"	"Neither"	"Neither"	"Disagree"	"Disagree"	"Neither"	"Agree"	"Agree"	"Disagree"	"Agree"	"Neither"	"Agree"	"Disagree"	"Disagree"	"Neither"	"Agree"	"Neither"	"Agree"	"Disagree"	"Neither"	"Neither"	"Disagree"
"Neither"	"Strongly agree"	"Neither"	"Neither"	"Agree"	"Agree"	"Neither"	"Agree"	"Strongly agree"	"Strongly agree"	"Agree"	"Neither"	"Strongly agree"	"Strongly disagree"	"Neither"	"Neither"	"Neither"	"Neither"	"Neither"	"Disagree"	"Disagree"	"Neither"	"Neither"
"Agree"	"Strongly agree"	"Neither"	"Agree"	"Neither"	"Strongly agree"	"Neither"	"Neither"	"Strongly disagree"	"Strongly agree"	"Neither"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Neither"	"Neither"	"Strongly agree"	"Strongly agree"	"Disagree"	"Disagree"	"Neither"	"Disagree"
"Agree"	"Strongly agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Neither"	"Neither"	"Agree"	"Neither"	"Neither"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Disagree"	"Neither"	"Neither"	"Strongly agree"	"Neither"
"Neither"	"Neither"	"Agree"	"Agree"	"Agree"	"Strongly agree"	"Agree"	"Strongly agree"	"Strongly disagree"	"Agree"	"Strongly agree"	"Agree"	"Agree"	"Neither"	"Neither"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"
"Neither"	"Strongly agree"	"Disagree"	"Disagree"	"Neither"	"Strongly disagree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"	"Neither"	"Neither"	"Disagree"	"Agree"	"Neither"	"Disagree"	"Disagree"	"Disagree"	"Neither"	"Neither"	"Strongly disagree"	"Strongly disagree"	"Neither"	"Strongly disagree"
"Neither"	"Strongly agree"	"Agree"	"Neither"	"Disagree"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Neither"	"Neither"	"Neither"	"Disagree"	"Neither"	"Agree"	"Neither"	"Neither"	"Neither"	"Disagree"	"Strongly agree"	"Disagree"
"Agree"	"Strongly agree"	"Strongly agree"	"Strongly disagree"	"Strongly agree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Strongly agree"	"Strongly agree"	"Disagree"	"Disagree"	"Strongly agree"	"Disagree"	"Strongly agree"	"Strongly disagree"	"Strongly disagree"	"Strongly disagree"	"Strongly disagree"
"Neither"	"Agree"	"Strongly disagree"	"Neither"	"Neither"	"Strongly agree"	"Neither"	"Strongly agree"	"Disagree"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Neither"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Disagree"	"Agree"	"Neither"	"Neither"	"Neither"
"Agree"	"Strongly agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Disagree"	"Neither"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Neither"	"Agree"	"Agree"	"Agree"	"Neither"	"Neither"	"Disagree"	"Disagree"
"Agree"	"Strongly agree"	"Neither"	"Neither"	"Agree"	"Strongly agree"	"Strongly agree"	"Agree"	"Strongly agree"	"Strongly agree"	"Strongly agree"	"Agree"	"Strongly agree"	"Agree"	"Strongly agree"	"Strongly agree"	"Agree"	"Strongly agree"	"Neither"	"Neither"	"Neither"	"Neither"	"Disagree"
