Training	Dance	Interaction	Observed	Expected	LnObserved	LnExpected
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
1	1	1	114	100.44	4.7361984483945	4.60956053428938
